Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
TB,9-3,1,27.9%,2,26.2%,1,25.6%,1,22.7%,9,-4.3%,10,-5.7%,25,-2.0%,25,-2.2%
NE,9-4,2,26.9%,1,35.4%,11,8.1%,5,11.3%,2,-17.0%,1,-21.6%,5,1.8%,6,2.5%
BUF,7-5,3,24.4%,3,22.3%,14,3.5%,13,2.5%,1,-21.0%,2,-19.7%,15,-0.1%,14,0.1%
DAL,8-4,4,24.1%,4,22.3%,7,11.0%,11,6.2%,4,-11.7%,3,-13.5%,6,1.4%,5,2.6%
ARI,10-2,5,21.7%,6,18.3%,12,7.9%,12,5.6%,3,-13.3%,4,-12.7%,12,0.5%,15,-0.1%
LAR,8-4,6,19.4%,8,16.5%,5,13.6%,8,8.8%,6,-6.9%,6,-7.5%,20,-1.1%,13,0.2%
SF,6-6,7,16.3%,5,18.8%,4,13.7%,4,13.6%,8,-4.5%,7,-7.0%,24,-1.9%,24,-1.9%
IND,7-6,8,13.3%,7,18.1%,9,8.9%,6,10.0%,11,-3.1%,8,-6.2%,7,1.3%,7,2.0%
KC,8-4,9,12.6%,9,15.1%,6,12.1%,10,7.8%,25,3.8%,14,-2.2%,2,4.4%,1,5.0%
GB,9-3,10,10.1%,10,14.1%,3,15.1%,3,15.4%,14,0.1%,12,-3.8%,30,-4.9%,30,-5.1%
MIN,5-7,11,9.3%,11,10.9%,8,9.3%,7,9.7%,17,1.7%,22,2.2%,4,1.8%,4,3.4%
LAC,7-5,12,7.4%,12,9.1%,2,15.6%,2,16.6%,19,2.3%,20,1.8%,31,-5.9%,31,-5.7%
NO,5-7,13,5.3%,14,1.3%,21,-3.6%,22,-6.1%,5,-9.3%,5,-8.1%,16,-0.4%,19,-0.8%
CLE,6-6,14,4.2%,15,0.8%,13,5.8%,16,1.7%,16,0.7%,16,-0.8%,19,-1.0%,23,-1.8%
PHI,6-7,15,3.5%,13,3.4%,10,8.1%,9,8.3%,26,4.2%,26,4.6%,17,-0.5%,18,-0.3%
BAL,8-4,16,0.9%,16,-3.1%,19,0.1%,18,-3.9%,24,3.8%,25,3.3%,1,4.6%,2,4.2%
SEA,4-8,17,0.3%,18,-3.6%,16,0.9%,20,-4.9%,22,3.3%,21,2.2%,3,2.6%,3,3.5%
DEN,6-6,18,-4.3%,17,-3.3%,15,3.0%,15,2.2%,20,2.8%,17,0.8%,29,-4.5%,29,-4.7%
CIN,7-5,19,-5.3%,20,-6.4%,23,-5.9%,23,-6.2%,15,0.4%,19,1.3%,10,1.0%,9,1.1%
LV,6-6,20,-5.3%,19,-4.0%,17,0.8%,14,2.3%,21,2.9%,24,2.9%,27,-3.1%,28,-3.4%
WAS,6-6,21,-9.9%,22,-10.0%,18,0.4%,17,-0.1%,30,11.4%,31,10.1%,9,1.1%,12,0.2%
TEN,8-4,22,-10.2%,21,-9.4%,22,-4.9%,24,-6.9%,23,3.6%,18,1.3%,22,-1.7%,22,-1.2%
PIT,6-5-1,23,-10.8%,25,-14.3%,20,-3.2%,19,-4.7%,27,7.5%,30,10.0%,14,-0.1%,11,0.4%
MIA,6-7,24,-12.9%,24,-11.2%,25,-10.0%,25,-9.8%,12,-0.2%,15,-1.8%,28,-3.2%,26,-3.2%
NYG,4-8,25,-13.2%,23,-11.2%,28,-14.0%,28,-16.1%,13,0.0%,13,-3.7%,11,0.8%,8,1.1%
CHI,4-8,26,-16.2%,26,-17.2%,27,-13.7%,26,-13.8%,18,1.9%,23,2.3%,18,-0.6%,21,-1.1%
CAR,5-7,27,-16.6%,27,-19.0%,30,-20.5%,31,-23.3%,7,-5.7%,11,-5.3%,23,-1.8%,20,-1.0%
NYJ,3-9,28,-24.6%,28,-24.0%,24,-8.1%,21,-6.1%,32,16.4%,32,17.7%,13,-0.1%,17,-0.2%
DET,1-10-1,29,-28.3%,30,-29.1%,29,-19.9%,30,-22.2%,28,9.6%,28,8.0%,8,1.2%,9,1.1%
JAX,2-10,30,-28.5%,29,-25.8%,26,-13.5%,27,-15.7%,31,11.9%,27,6.8%,26,-3.1%,27,-3.3%
HOU,2-10,31,-30.6%,31,-32.6%,32,-33.2%,32,-38.4%,10,-3.9%,9,-6.0%,21,-1.3%,16,-0.2%
ATL,5-7,32,-37.5%,32,-36.1%,31,-20.9%,29,-21.0%,29,10.3%,29,9.0%,32,-6.4%,32,-6.1%

